date	open	high	low	close	volume
Jul-24-2025	MSFT	508.77	513.67	507.30	510.88	16097400
May-30-2025	MSFT	459.72	461.68	455.54	460.36	34770500
Apr-25-2025	GOOG	167.10	168.24	163.00	163.85	35148100
May-2-2025	GOOG	164.96	166.70	163.66	165.81	16844900
Feb-24-2025	META	686.28	687.27	662.45	668.13	15677000
Mar-7-2025	META	625.37	634.79	800.61	625.66	21375700
Jan-10-2025	MSFT	345.22	212.50	490.30	112.44	3498745
Jul-24-2025	MSFT	508.77	513.67	507.30	510.88	16097400
May-30-2025	MSFT	459.72	461.68	455.54	460.36	34770500
Apr-16-2025	GOOG	167.10	168.24	163.00	163.85	35148100
May-2-2025	GOOG	164.96	166.70	163.66	165.81	16844900
Feb-4-2025	META	686.28	687.27	662.45	668.13	15677000
